PID: 3, TP: 490, CP: 491, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 2510
PID: 1, TP: 413, CP: 414, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 4587
PID: 2, TP: 357, CP: 358, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 6643
PID: 4, TP: 139, CP: 140, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 2861
PID: 4, TP: 149, CP: 150, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 2851
PID: 3, TP: 490, CP: 491, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 2510
PID: 5, TP: 342, CP: 343, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 7658
PID: 5, TP: 488, CP: 489, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 7512
PID: 4, TP: 149, CP: 150, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 2851
PID: 6, TP: 379, CP: 380, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 1621
PID: 6, TP: 409, CP: 410, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 1591
PID: 6, TP: 409, CP: 410, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 1591
PID: 6, TP: 409, CP: 410, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 1591
PID: 6, TP: 420, CP: 421, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 1580
PID: 7, TP: 1066, CP: 1067, Estado: EXECUTANDO, NES: 7, N_CPU: 8, Tempo Restante: 3934
PID: 7, TP: 1239, CP: 1240, Estado: BLOQUEADO, NES: 8, N_CPU: 8, Tempo Restante: 3761
PID: 5, TP: 488, CP: 489, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 7512
PID: 7, TP: 1239, CP: 1240, Estado: PRONTO, NES: 8, N_CPU: 8, Tempo Restante: 3761
PID: 8, TP: 93, CP: 94, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 3907
PID: 8, TP: 103, CP: 104, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 3897
PID: 8, TP: 103, CP: 104, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 3897
PID: 6, TP: 420, CP: 421, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 1580
PID: 8, TP: 103, CP: 104, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 3897
PID: 8, TP: 121, CP: 122, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 3879
PID: 9, TP: 575, CP: 576, Estado: EXECUTANDO, NES: 6, N_CPU: 7, Tempo Restante: 9425
PID: 9, TP: 606, CP: 607, Estado: BLOQUEADO, NES: 7, N_CPU: 7, Tempo Restante: 9394
PID: 9, TP: 606, CP: 607, Estado: PRONTO, NES: 7, N_CPU: 7, Tempo Restante: 9394
PID: 0, TP: 964, CP: 965, Estado: EXECUTANDO, NES: 9, N_CPU: 10, Tempo Restante: 9036
PID: 0, TP: 1086, CP: 1087, Estado: BLOQUEADO, NES: 10, N_CPU: 10, Tempo Restante: 8914
PID: 1, TP: 413, CP: 414, Estado: EXECUTANDO, NES: 6, N_CPU: 7, Tempo Restante: 4587
PID: 1, TP: 479, CP: 480, Estado: BLOQUEADO, NES: 7, N_CPU: 7, Tempo Restante: 4521
PID: 1, TP: 479, CP: 480, Estado: PRONTO, NES: 7, N_CPU: 7, Tempo Restante: 4521
PID: 1, TP: 479, CP: 480, Estado: EXECUTANDO, NES: 7, N_CPU: 8, Tempo Restante: 4521
PID: 1, TP: 542, CP: 543, Estado: BLOQUEADO, NES: 8, N_CPU: 8, Tempo Restante: 4458
PID: 8, TP: 121, CP: 122, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 3879
PID: 2, TP: 357, CP: 358, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 6643
PID: 2, TP: 424, CP: 425, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 6576
PID: 0, TP: 1086, CP: 1087, Estado: PRONTO, NES: 10, N_CPU: 10, Tempo Restante: 8914
PID: 1, TP: 542, CP: 543, Estado: PRONTO, NES: 8, N_CPU: 8, Tempo Restante: 4458
PID: 3, TP: 490, CP: 491, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 2510
PID: 3, TP: 498, CP: 499, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 2502
PID: 3, TP: 498, CP: 499, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 2502
PID: 4, TP: 149, CP: 150, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 2851
PID: 4, TP: 206, CP: 207, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 2794
PID: 4, TP: 206, CP: 207, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 2794
PID: 2, TP: 424, CP: 425, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 6576
PID: 4, TP: 206, CP: 207, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 2794
PID: 4, TP: 361, CP: 362, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 2639
PID: 5, TP: 488, CP: 489, Estado: EXECUTANDO, NES: 6, N_CPU: 7, Tempo Restante: 7512
PID: 5, TP: 578, CP: 579, Estado: BLOQUEADO, NES: 7, N_CPU: 7, Tempo Restante: 7422
PID: 6, TP: 420, CP: 421, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 1580
PID: 6, TP: 440, CP: 441, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 1560
PID: 6, TP: 440, CP: 441, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 1560
PID: 6, TP: 440, CP: 441, Estado: EXECUTANDO, NES: 6, N_CPU: 7, Tempo Restante: 1560
PID: 6, TP: 513, CP: 514, Estado: BLOQUEADO, NES: 7, N_CPU: 7, Tempo Restante: 1487
PID: 4, TP: 361, CP: 362, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 2639
PID: 7, TP: 1239, CP: 1240, Estado: EXECUTANDO, NES: 8, N_CPU: 9, Tempo Restante: 3761
PID: 7, TP: 1314, CP: 1315, Estado: BLOQUEADO, NES: 9, N_CPU: 9, Tempo Restante: 3686
PID: 7, TP: 1314, CP: 1315, Estado: PRONTO, NES: 9, N_CPU: 9, Tempo Restante: 3686
PID: 7, TP: 1314, CP: 1315, Estado: EXECUTANDO, NES: 9, N_CPU: 10, Tempo Restante: 3686
PID: 7, TP: 1339, CP: 1340, Estado: BLOQUEADO, NES: 10, N_CPU: 10, Tempo Restante: 3661
PID: 7, TP: 1339, CP: 1340, Estado: PRONTO, NES: 10, N_CPU: 10, Tempo Restante: 3661
PID: 6, TP: 513, CP: 514, Estado: PRONTO, NES: 7, N_CPU: 7, Tempo Restante: 1487
PID: 7, TP: 1339, CP: 1340, Estado: EXECUTANDO, NES: 10, N_CPU: 11, Tempo Restante: 3661
PID: 7, TP: 1653, CP: 1654, Estado: BLOQUEADO, NES: 11, N_CPU: 11, Tempo Restante: 3347
PID: 7, TP: 1653, CP: 1654, Estado: PRONTO, NES: 11, N_CPU: 11, Tempo Restante: 3347
PID: 8, TP: 121, CP: 122, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 3879
PID: 8, TP: 138, CP: 139, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 3862
PID: 5, TP: 578, CP: 579, Estado: PRONTO, NES: 7, N_CPU: 7, Tempo Restante: 7422
PID: 9, TP: 606, CP: 607, Estado: EXECUTANDO, NES: 7, N_CPU: 8, Tempo Restante: 9394
PID: 9, TP: 654, CP: 655, Estado: BLOQUEADO, NES: 8, N_CPU: 8, Tempo Restante: 9346
PID: 0, TP: 1086, CP: 1087, Estado: EXECUTANDO, NES: 10, N_CPU: 11, Tempo Restante: 8914
PID: 0, TP: 1170, CP: 1171, Estado: BLOQUEADO, NES: 11, N_CPU: 11, Tempo Restante: 8830
PID: 8, TP: 138, CP: 139, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 3862
PID: 0, TP: 1170, CP: 1171, Estado: PRONTO, NES: 11, N_CPU: 11, Tempo Restante: 8830
PID: 1, TP: 542, CP: 543, Estado: EXECUTANDO, NES: 8, N_CPU: 9, Tempo Restante: 4458
PID: 1, TP: 925, CP: 926, Estado: BLOQUEADO, NES: 9, N_CPU: 9, Tempo Restante: 4075
PID: 9, TP: 654, CP: 655, Estado: PRONTO, NES: 8, N_CPU: 8, Tempo Restante: 9346
PID: 2, TP: 424, CP: 425, Estado: EXECUTANDO, NES: 6, N_CPU: 7, Tempo Restante: 6576
PID: 2, TP: 597, CP: 598, Estado: BLOQUEADO, NES: 7, N_CPU: 7, Tempo Restante: 6403
PID: 1, TP: 925, CP: 926, Estado: PRONTO, NES: 9, N_CPU: 9, Tempo Restante: 4075
PID: 2, TP: 597, CP: 598, Estado: PRONTO, NES: 7, N_CPU: 7, Tempo Restante: 6403
PID: 3, TP: 498, CP: 499, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 2502
PID: 3, TP: 616, CP: 617, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 2384
PID: 4, TP: 361, CP: 362, Estado: EXECUTANDO, NES: 6, N_CPU: 7, Tempo Restante: 2639
PID: 4, TP: 489, CP: 490, Estado: BLOQUEADO, NES: 7, N_CPU: 7, Tempo Restante: 2511
PID: 5, TP: 578, CP: 579, Estado: EXECUTANDO, NES: 7, N_CPU: 8, Tempo Restante: 7422
PID: 5, TP: 683, CP: 684, Estado: BLOQUEADO, NES: 8, N_CPU: 8, Tempo Restante: 7317
PID: 3, TP: 616, CP: 617, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 2384
PID: 6, TP: 513, CP: 514, Estado: EXECUTANDO, NES: 7, N_CPU: 8, Tempo Restante: 1487
PID: 6, TP: 557, CP: 558, Estado: BLOQUEADO, NES: 8, N_CPU: 8, Tempo Restante: 1443
PID: 6, TP: 557, CP: 558, Estado: PRONTO, NES: 8, N_CPU: 8, Tempo Restante: 1443
PID: 5, TP: 683, CP: 684, Estado: PRONTO, NES: 8, N_CPU: 8, Tempo Restante: 7317
PID: 6, TP: 557, CP: 558, Estado: EXECUTANDO, NES: 8, N_CPU: 9, Tempo Restante: 1443
PID: 6, TP: 586, CP: 587, Estado: BLOQUEADO, NES: 9, N_CPU: 9, Tempo Restante: 1414
